At timestep 0:-0.000000 -0.000000 -0.000000 0.000000 -0.000000 -0.000000 0.000000; -0.000051 0.000038 -0.000139 -1.570703 -0.000232 1.570958 0.785158; 0.000544 -0.000172 -0.000744 -0.000319 -0.000553 -0.000491 -0.000856
At timestep 1:0.000001 -0.000009 0.000001 0.000001 -0.000000 -0.000001 -0.000000; -0.000057 0.000038 -0.000142 -1.570697 -0.000230 1.570961 0.785164; -0.001247 -0.000114 -0.001261 0.001552 0.000277 0.000046 0.000684
At timestep 2:0.000002 -0.000047 0.000002 0.000001 -0.000000 -0.000005 -0.000000; -0.000054 0.000035 -0.000140 -1.570702 -0.000232 1.570962 0.785163; 0.000050 -0.002674 -0.006259 0.001035 0.000525 0.000031 0.000931
At timestep 3:0.000007 -0.000050 0.000007 0.000006 0.000000 -0.000006 -0.000000; -0.000062 0.000034 -0.000142 -1.570704 -0.000228 1.570960 0.785164; -0.001695 -0.001858 -0.004658 0.000261 -0.005281 -0.000692 -0.007088
At timestep 4:0.000039 -0.000110 0.000039 0.000005 0.000002 -0.000013 -0.000000; -0.000063 0.000040 -0.000150 -1.570708 -0.000228 1.570958 0.785168; -0.004262 -0.003549 -0.005233 0.001685 -0.002551 -0.001173 -0.003782
At timestep 5:0.000010 -0.000122 0.000010 0.000021 -0.000002 -0.000010 -0.000000; -0.000064 0.000038 -0.000150 -1.570710 -0.000231 1.570961 0.785164; -0.002157 -0.002177 -0.005988 0.003533 -0.001575 0.008542 -0.004095
At timestep 6:-0.000019 -0.000053 -0.000019 0.000001 -0.000003 -0.000006 -0.000000; -0.000069 0.000050 -0.000151 -1.570716 -0.000238 1.570960 0.785166; -0.002549 0.003204 -0.004460 0.001286 -0.002084 0.005760 -0.002664
At timestep 7:0.000006 -0.000079 0.000006 0.000012 -0.000001 -0.000007 -0.000000; -0.000071 0.000051 -0.000154 -1.570713 -0.000241 1.570963 0.785158; -0.001837 0.001086 -0.004252 0.006957 -0.002359 0.005135 -0.004583
At timestep 8:-0.000031 -0.000097 -0.000031 0.000006 -0.000004 -0.000010 -0.000000; -0.000077 0.000062 -0.000157 -1.570715 -0.000241 1.570967 0.785164; -0.005305 0.003788 -0.003933 0.006428 -0.002775 0.004199 -0.001337
At timestep 9:-0.000018 -0.000070 -0.000018 0.000002 -0.000003 -0.000008 -0.000000; -0.000078 0.000066 -0.000160 -1.570712 -0.000246 1.570969 0.785165; -0.003876 0.003710 -0.003748 0.007114 -0.002692 0.003500 -0.000841
At timestep 10:-0.000041 -0.000042 -0.000041 -0.000013 -0.000004 -0.000009 -0.000000; -0.000083 0.000075 -0.000162 -1.570716 -0.000248 1.570975 0.785163; -0.003766 0.005426 -0.003482 0.002844 -0.002257 0.003291 -0.009648
At timestep 11:-0.000046 -0.000004 -0.000045 -0.000024 -0.000004 -0.000007 -0.000000; -0.000088 0.000083 -0.000160 -1.570709 -0.000247 1.570974 0.785168; -0.003537 0.006412 -0.001597 0.004184 -0.001258 0.002718 -0.006579
At timestep 12:-0.000025 -0.000035 -0.000024 -0.000003 -0.000002 -0.000005 -0.000000; -0.000094 0.000080 -0.000165 -1.570711 -0.000249 1.570975 0.785163; -0.003336 0.003587 -0.002911 0.002348 -0.000569 0.002662 -0.006785
At timestep 13:-0.000037 -0.000050 -0.000037 -0.000004 -0.000003 -0.000007 -0.000000; -0.000093 0.000085 -0.000168 -1.570708 -0.000252 1.570974 0.785166; -0.004655 0.004172 -0.002838 0.003531 -0.000092 0.001539 -0.004280
At timestep 14:-0.000013 -0.000014 -0.000013 -0.000000 -0.000001 -0.000002 -0.000000; -0.000095 0.000080 -0.000164 -1.570711 -0.000250 1.570975 0.785160; -0.003447 0.002029 -0.000176 0.002575 -0.003019 0.000392 -0.004959
At timestep 15:-0.000018 -0.000060 -0.000018 0.000007 -0.000001 -0.000006 -0.000000; -0.000103 0.000082 -0.000173 -1.570714 -0.000248 1.570973 0.785166; -0.004319 0.002250 -0.002844 0.001883 -0.005943 -0.000765 -0.001622
